Title,Video ID,Video URL,Channel Title,Misleading Video,False Promises ,Exaggerated Video,Spam Content ,Exploits Curiosity Gap :,Label
"Shocking Bad Habits Of Top 10 Bollywood Actors & Actresses -Deepika Padukone,Shraddha Kapoor,Anushka",VvDoIUuq-Qg,https://www.youtube.com/watch?v=VvDoIUuq-Qg,Celebrity News,Yes,No,Yes,Yes,Yes,Clickbait
Shocking Real Age Of Top 10 Bollywood Actresses   You Won't Believe,yCe_KvN_k34,https://www.youtube.com/watch?v=yCe_KvN_k34,Viral Baat - Insight News,No,No,Yes,Yes,Yes,Clickbait
10 Bollywood Stars Who Suffered Over Weight Problems and Recover From it like No One,HKNxolW3NCI,https://www.youtube.com/watch?v=HKNxolW3NCI,Mr. Reporter,No,No,Yes,Yes,Yes,Clickbait
12 Bollywood Actors Who Did Hair Transplant Surgery | You Won't Believe,vMSxKaXNk8A,https://www.youtube.com/watch?v=vMSxKaXNk8A,Mr. Reporter,Yes,No,Yes,Yes,Yes,Clickbait
18 Bollywood Divas Who Happily Became Second Wife For Money | You Won't Believe,W2FBr5bG6zU,https://www.youtube.com/watch?v=W2FBr5bG6zU,Mr. Reporter,Yes,No,Yes,No,Yes,Clickbait
Bollywood Actors Age | Real Age Of  Bollywood Actors - You Won't Believe,3WUptQ-hC2Y,https://www.youtube.com/watch?v=3WUptQ-hC2Y,Amazing Facts,No,No,Yes,Yes,Yes,Clickbait
Top 10 Bollywood Conspiracy Theories You Won't Believe,FafwI0h3WKk,https://www.youtube.com/watch?v=FafwI0h3WKk,Top 10 Hindi Videos,Yes,No,Yes,No,Yes,Clickbait
5 Embarrassing Bollywood Movie Scenes You Wont Believe Exist,z6VvhUlGSSQ,https://www.youtube.com/watch?v=z6VvhUlGSSQ,Tried&Refused Productions.,No,No,Yes,No,Yes,Clickbait
Absolutely Ridiculous Indian Movie Scenes That Will Leave You Speechless,i4GRIl4AcV0,https://www.youtube.com/watch?v=i4GRIl4AcV0,Tried&Refused Productions.,No,Yes,Yes,No,Yes,Clickbait
The Shocking & Dark Side Of Bollywood Celebrities Exposed,I9Luzeshhc8,https://www.youtube.com/watch?v=I9Luzeshhc8,Tried&Refused Productions.,No,No,Yes,No,Yes,Clickbait
5 Embarrassing Indian Movie Scenes That Will Leave You Speechless | MATLAB KUCH BHI,prCai1y4mYg,https://www.youtube.com/watch?v=prCai1y4mYg,Tried&Refused Productions.,No,No,Yes,No,Yes,Clickbait
8 Shocking Confessions By Bollywood Celebrities In Live TV Interviews,A_wpOxG5GFA,https://www.youtube.com/watch?v=A_wpOxG5GFA,Tried&Refused Productions.,No,No,Yes,No,Yes,Clickbait
Shocking Indian Movie DIalogues/Scenes You Won’t Believe Were Approved | MATLAB KUCH BHI,5WaC3vkgEVU,https://www.youtube.com/watch?v=5WaC3vkgEVU,Tried&Refused Productions.,No,No,Yes,No,Yes,Clickbait
Top 8 Worst Bollywood Movies & Performances Of 2020,GhpSakfMk1g,https://www.youtube.com/watch?v=GhpSakfMk1g,Tried&Refused Productions.,No,No,Yes,Yes,Yes,Clickbait
5 Absolutely Bizarre Indian Movie Scenes That Will Leave You Speechless,a3tRG7Ungqs,https://www.youtube.com/watch?v=a3tRG7Ungqs,Tried&Refused Productions.,No,No,Yes,No,Yes,Clickbait
OMG! 10 HUMSHAKAL of FAMOUS BOLLYWOOD ACTORS - You Wont Believe! People Who Look Alike ACTORS,vSwRGjYY5D4,https://www.youtube.com/watch?v=vSwRGjYY5D4,CrazyYeah,No,No,Yes,No,Yes,Clickbait
Bollywood Stars Who Are Not Indian Citizens - You Won't Believe,1cz7g-ZFpEk,https://www.youtube.com/watch?v=1cz7g-ZFpEk,Lifestyle 360 News,No,No,Yes,No,Yes,Clickbait
10 People Who Look Alike FAMOUS BOLLYWOOD ACTORS - You Wont Believe,CqZeutIEjcs,https://www.youtube.com/watch?v=CqZeutIEjcs,CrazyYeah,No,No,Yes,Yes,Yes,Clickbait
You Won't Believe What Shahid Said About Fawad Khan,NEStSMUhqds,https://www.youtube.com/watch?v=NEStSMUhqds,BollywoodCountry,Yes,No,No,Yes,Yes,Clickbait
Top 10 Handsome Son Of Bollywood Actors | You Never Seen Before,xNCJmogYzlY,https://www.youtube.com/watch?v=xNCJmogYzlY,The Top Everything,Yes,No,Yes,Yes,Yes,Clickbait
Top 10 Mothers of Famous Bollywood Actress | You Don't Know,k0uFfXj9meY,https://www.youtube.com/watch?v=k0uFfXj9meY,10 DEGREE INDIAN FACTS,Yes,No,Yes,Yes,Yes,Clickbait
Aashiki 3 2021 || New Release Bollywood Film Sidharth Malhotra Katrina Kaif New Hindi Movie Full HD,8FIhIPbC4Mk,https://www.youtube.com/watch?v=8FIhIPbC4Mk,Click Movies,Yes,Yes,Yes,Yes,Yes,Clickbait
10 Beautiful Mothers of Bollywood Actors,SM_tuZcFicU,https://www.youtube.com/watch?v=SM_tuZcFicU,Smoky Evening,No,No,Yes,No,No,Clickbait
Bachan Pandey Official Trailer | Akshay Kumar | Kriti Sanon | Jacqueline Fernandez,D6oGAxuKJoQ,https://www.youtube.com/watch?v=D6oGAxuKJoQ,Fox Trailer Pro,Yes,Yes,No,Yes,No,Clickbait
KRRISH 4 official trailer| Hrithik Roshan | Priyanka Chopra | Rakesh Roshan | Amitabh Bachchan,f7Bsbzo2z_s,https://www.youtube.com/watch?v=f7Bsbzo2z_s,Namma YASH,Yes,Yes,Yes,Yes,No,Clickbait
"8 Famous Indian Celebrities Who Married To Foreigners | Priyanka Chopra, Nick Jonas, Shruti Haasan",HtZOQm3zj3Y,https://www.youtube.com/watch?v=HtZOQm3zj3Y,Nice & Top,Yes,No,Yes,No,Yes,Clickbait
10 Bollywood Stars Who Married 3 Times,cuZ05wzGERg,https://www.youtube.com/watch?v=cuZ05wzGERg,Smoky Evening,No,Yes,Yes,No,Yes,Clickbait
31 Bollywood Actress Real Age 2020 And South Indian Actress Real Age,1j3xHBoGLxM,https://www.youtube.com/watch?v=1j3xHBoGLxM,shivam ks,No,No,Yes,No,Yes,Clickbait
"फ़िल्मी हीरोइनों के गंदे MMS, बुरी तरह वायरल  Bollywood Actresses Controversial Videos",QXsM2DqRzJE,https://www.youtube.com/watch?v=QXsM2DqRzJE,अचंभित दुनिया,Yes,Yes,Yes,Yes,Yes,Clickbait
Which Actresses joined Bollywood by doing Sex with Directors.,hWLHRUddhas,https://www.youtube.com/watch?v=hWLHRUddhas,Informative Treasure,Yes,Yes,Yes,Yes,Yes,Clickbait
"Top 10 Bollywood Hot Actress Oops Moments | Kareena, Alia Bhatt's Moments",hX242MLHIzc,https://www.youtube.com/watch?v=hX242MLHIzc,Bollywood Chai News,No,No,Yes,Yes,No,Clickbait
Priyanka Chopra Bollywood Sex Video XNXX XVIDEOS porn blue film Hindi hot sexy video,U6MG8oSuoX0,https://www.youtube.com/watch?v=U6MG8oSuoX0,SHRUTI MISHRA,Yes,Yes,Yes,Yes,No,Clickbait
Bollywood Actors SLAPPED on Camera - Akshay Kumar | Shahrukh Khan | Govinda,ig9zcDlGnG4,https://www.youtube.com/watch?v=ig9zcDlGnG4,Entertainment Fabula,Yes,No,Yes,Yes,No,Clickbait
Blue Films में किया Bollywood की इन Top Actresses ने काम | Sunny | Disha | Ananya | Sana | Sara,2Huyna3QM80,https://www.youtube.com/watch?v=2Huyna3QM80,MusicWorld Remix,Yes,Yes,Yes,Yes,No,Clickbait
HOT BOLLYWOOD SEXY SCENE  ||  HOT SEXY VIDEO   ||  SEXY VIDEO  ||  BOLLYWOOD PORN STAR,9PUWtJUqTfs,https://www.youtube.com/watch?v=9PUWtJUqTfs,Top Teen Lover,Yes,Yes,Yes,Yes,No,Clickbait
sara ali khan sexy video ! sara ali khan nude videos,QpByIr0l2mE,https://www.youtube.com/watch?v=QpByIr0l2mE,grand masti,Yes,Yes,Yes,Yes,Yes,Clickbait
Bollywood Actors Are Facing Contract Issue with Big Brands,o0niNWGbTuE,https://www.youtube.com/watch?v=o0niNWGbTuE,FolkBuzz,Yes,Yes,Yes,Yes,No,Clickbait
Plastic Surgery से पहले और बाद की 10 बॉलीवुड अभिनेत्रियाँ | 10 Actresses Before and After Surgery,uLz8_6x8u2Q,https://www.youtube.com/watch?v=uLz8_6x8u2Q,Desi Panda,Yes,Yes,Yes,No,No,Clickbait
Bollywood Actors Whose Career is Coming to End,7dEvlOI-fDM,https://www.youtube.com/watch?v=7dEvlOI-fDM,FolkBuzz,Yes,Yes,Yes,No,No,Clickbait
DARK SIDE OF BOLLYWOOD - ELVISH YADAV,nl0KFcDfUWo,https://www.youtube.com/watch?v=nl0KFcDfUWo,Elvish Yadav Vlogs,Yes,Yes,Yes,No,No,Clickbait
Deepika's Birthday Gifts From Big Bollywood Stars 2020,US1_9nxM3IU,https://www.youtube.com/watch?v=US1_9nxM3IU,Smoky Evening,Yes,Yes,No,Yes,No,Clickbait
"15 Most Expensive Mobile Phones Of Bollywood Celebrities 2020, Deepika Padukone, Anushka Sharma",JSj-kyqpYf8,https://www.youtube.com/watch?v=JSj-kyqpYf8,Pakistani Stars Tv,Yes,Yes,No,Yes,Yes,Clickbait
"11 Bollywood Actresses Who are Hiding Their Pregnancy in 2020 | Deepika Padukone, Anushka Sharma",t_XDyOuXAm8,https://www.youtube.com/watch?v=t_XDyOuXAm8,Universal In Sights,Yes,Yes,Yes,Yes,Yes,Clickbait
Real Life sisters of South Indian Actor | You Don't Know,r_Qzl2ADf4A,https://www.youtube.com/watch?v=r_Qzl2ADf4A,10 DEGREE INDIAN FACTS,No,No,Yes,No,Yes,Clickbait
Pewdiepie as a bollywood actress,MBaaA6oekVo,https://www.youtube.com/watch?v=MBaaA6oekVo,NextFace,Yes,No,No,No,No,Clickbait
Dhoom 4 Official Trailer Akshay Ranbir Abhishek Uday | New Bollywood Movies 2020,uTjbnVEJqTk,https://www.youtube.com/watch?v=uTjbnVEJqTk,Jarwar Production,Yes,Yes,No,Yes,No,Clickbait
"Robot 3.0 movie official trailer ,Tiger Shroff ,Katrina Kaif, Rajnikant , releasing date movie story",WgFjCcm9Xeg,https://www.youtube.com/watch?v=WgFjCcm9Xeg,Bollywood new updates,Yes,Yes,No,Yes,No,Clickbait
डिलीट होने से पहले देख लो Nora Fatehi की ये हॉट वीडियो Clip,FYWoASBLcpA,https://www.youtube.com/watch?v=FYWoASBLcpA,PR Bollywood,No,No,Yes,Yes,Yes,Clickbait
Varun Dhawan Death News | Sad News for Varun Dhawan Fans | Bollywood News BBC24 NEWS,vYjAeBFBduU,https://www.youtube.com/watch?v=vYjAeBFBduU,DELHI HAI,Yes,No,No,No,Yes,Clickbait
"Kajol's Secret Opened, bollywood news",5uukMLh9T60,https://www.youtube.com/watch?v=5uukMLh9T60,ANV Bollywood Masala,No,Yes,Yes,Yes,Yes,Clickbait
"सलमान खान बने कटरीना के लाडले के बाप, Bollywood news",B29W6FnEIMs,https://www.youtube.com/watch?v=B29W6FnEIMs,ANV Bollywood Masala,Yes,Yes,Yes,Yes,Yes,Clickbait
"करीना ने बताया बूढ़े सैफ से शादी करने का असली कारण, पूरा बॉलीवुड हुआ भावुक, Bollywood news",4MEEUiqZVzU,https://www.youtube.com/watch?v=4MEEUiqZVzU,ANV Bollywood Masala,No,Yes,Yes,No,Yes,Clickbait
"प्रियंका और निक की शादी की पहली रात का असली सच, पूरा बॉलीवुड हुआ भावुक, Bollywood news",PwygvDdcoC8,https://www.youtube.com/watch?v=PwygvDdcoC8,ANV Bollywood Masala,Yes,Yes,Yes,Yes,Yes,Clickbait
Today Breaking News I आज की 10 बड़ी ख़बरें I Deepika Padukon I PM Modi I Bollywood News I ANV News,J6tLuhZf3Rg,https://www.youtube.com/watch?v=J6tLuhZf3Rg,ANV Bollywood Masala,Yes,Yes,Yes,Yes,Yes,Clickbait
"जब सलमान के सामने हाथ जोड़ने लगी थी जैकलीन , Bollywood Masala",c_HRBoCJl9I,https://www.youtube.com/watch?v=c_HRBoCJl9I,Top Trending News Hub,Yes,Yes,Yes,Yes,Yes,Clickbait
Anushka Sharma and Virat Kohli Daughter Cry #Viral Video #Avni #Baby Girl,Vr2Fh4srIvQ,https://www.youtube.com/watch?v=Vr2Fh4srIvQ,Top Trending News Hub,Yes,No,No,Yes,No,Clickbait
सुभाष घई के साथ ऐश्वर्या कि वो रात  bollywood news,YH8g__5rJk8,https://www.youtube.com/watch?v=YH8g__5rJk8,Top Trending News Hub,Yes,Yes,Yes,Yes,Yes,Clickbait
Akshay Kumar New Full Action Hindi Movies 2021,vykdTWjc7hw,https://www.youtube.com/watch?v=vykdTWjc7hw,Varsha Music Multiplex,No,Yes,No,No,No,Clickbait
Radhe Full Movie Leatest Movies 2020,8k-eH6uS-E0,https://www.youtube.com/watch?v=8k-eH6uS-E0,Multimedia Hub,No,Yes,No,No,No,Clickbait
Anthim full movie | Salman khan new movie | Disha patani | Prabhu Deva | SKF,9FRgxjOMEEc,https://www.youtube.com/watch?v=9FRgxjOMEEc,IMOVIE FAN,No,Yes,No,No,No,Clickbait
"Radhe Official Trailer, Salman Khan, Disha Patani, Radhe Full Movie, Radhe Box Office Collection",XowwHgdiYsc,https://www.youtube.com/watch?v=XowwHgdiYsc,ZOOM MOVIES,No,Yes,Yes,No,No,Clickbait
Radhe Official Trailer | Salman Khan | Randeep Hooda | Disha Patani | Eid 2020,dT6PPuJEZmY,https://www.youtube.com/watch?v=dT6PPuJEZmY,Lekhu Meena,No,Yes,No,No,No,Clickbait
Mahabharat Movie Trailer 2020 | Hrithik | Ranveer| Deepika | Kagana | Prabhas | Ranbeer | Varun alia,BUIRkSd6PMg,https://www.youtube.com/watch?v=BUIRkSd6PMg,Today Youth,No,Yes,Yes,No,No,Clickbait
"Bell Bottom Movie, Akshay Kumar, Vaani K , Huma Q, Lara, Ranjit tiwari, Bell Bottom Trailer, #Akshay",wImjH9haWp4,https://www.youtube.com/watch?v=wImjH9haWp4,Review Bazaar,No,Yes,No,No,No,Clickbait
New,mtHbJ2qPDtk,https://www.youtube.com/watch?v=mtHbJ2qPDtk&list=PLTszXMA1gpFZrw889rDIQAAgQaoFA1MIQ,Kala Lal,No,Yes,No,No,No,Clickbait
Watch online,rl_ftvSpIg4,https://www.youtube.com/watch?v=rl_ftvSpIg4&list=PLUMLv_LB8_f_LinEOHqfYVfr9SHswQhBZ,online movie,No,Yes,No,No,No,Clickbait
2020,ON7ZMCwb224,https://www.youtube.com/watch?v=ON7ZMCwb224&list=PLNzWkZESItbuhyh0IGCFWEn3MREs4sENe,priya sen,No,Yes,No,No,No,Clickbait
83 Full Movie | Ranveer Singh Latest Bollywood Movie 2020 | New Action movie | south hindi movie,czP2rJ6Bzgg,https://www.youtube.com/watch?v=czP2rJ6Bzgg,ANDY CINEMA,No,Yes,No,Yes,No,Clickbait
83 Trailer | Ranveer Singh | 1983 World Cup,B8_7Opa6iBQ,https://www.youtube.com/watch?v=B8_7Opa6iBQ,The Home Theatre,No,Yes,No,No,No,Clickbait
83 Official Trailer | Ranveer Singh | Deepika Padukone | Kapil Dev | Wamiqa Gabbi | Kabir Khan,bDlcl3k0v10,https://www.youtube.com/watch?v=bDlcl3k0v10,PR Bollywood,No,Yes,No,No,No,Clickbait
Jersey | Official Trailer | Shahid Kapoor | Mrunal Thakur | Nani | 2020 | Concept Trailer,_nbj4hOXtTM,https://www.youtube.com/watch?v=_nbj4hOXtTM,Bollygrad Studioz,No,Yes,No,No,No,Clickbait
Jersey Full Movie | Shahid Kapoor | Mrunal Thakur | Jersey Hindi Remake Full Movie 2020,6K8WvkztNlA,https://www.youtube.com/watch?v=6K8WvkztNlA,jn goswami,No,Yes,No,No,No,Clickbait
Jersey | Official Trailer | Shahid Kapoor | Kiara Advani | Mrunal Thakur | Nani | 2021,Vh1QfduGJCQ,https://www.youtube.com/watch?v=Vh1QfduGJCQ,PR Bollywood,No,Yes,Yes,No,No,Clickbait
"RRR : Full Movie HD facts | NTR, Ram Charan, Ajay Devgn, Alia Bhatt, Olivia Morris | SS Rajamouli",67HCZ0J-dxA,https://www.youtube.com/watch?v=67HCZ0J-dxA,Bollygrad Studioz,Yes,Yes,Yes,Yes,No,Clickbait
"AMITABH BACHCHAN DEATH,AMITHABH BACHCHAN FUNERAL,AMITABH BACHHAN LAST VIDEO",JYrgShlXUVI,https://www.youtube.com/watch?v=JYrgShlXUVI,SPEEDY NEWS,Yes,Yes,Yes,Yes,No,Clickbait
"Housefull 4 Official Trailer | Akshay Kumar, Housefull 4 Movie, Housefull 4 | Comming Soon",LR1fvqgybpU,https://www.youtube.com/watch?v=LR1fvqgybpU,SPEEDY NEWS,No,Yes,No,No,No,Clickbait
"Street Dancer Official Trailer | Varun Dhawan,Shraddha Kapoor,Nora Fatehi,Remo D'Souza|Comming Soon",tJbSEB0GHQE,https://www.youtube.com/watch?v=tJbSEB0GHQE,SPEEDY NEWS,No,Yes,No,No,No,Clickbait
Lal Kaptaan Official Trailer | Saif Ali Khan | Anad L Roy | Comming Soon | Speedy News,YK0OflvuoqU,https://www.youtube.com/watch?v=YK0OflvuoqU,SPEEDY NEWS,Yes,Yes,No,No,No,Clickbait
"Laxmi Bomb Official Trailer | Akshay Kumar, Mouni Roy, Kiara Advani, Raghawa Lawrence| Comming Soon",6ybt94oQYAU,https://www.youtube.com/watch?v=6ybt94oQYAU,SPEEDY NEWS,No,Yes,No,No,No,Clickbait
"Bramhastra Official Trailer | Alia Bhatt ,Ranbir kapoor,Amitabh Bachchan,Mouni roy | Cooming Soon",zHBkWsr_7Lw,https://www.youtube.com/watch?v=zHBkWsr_7Lw,SPEEDY NEWS,No,Yes,No,No,No,Clickbait
"Bahubali 3 Official Trailer | Prabhas,Anushka, S S Rajamouli, Bahubali 3 Comming Soon",eNU0uLzwTNc,https://www.youtube.com/watch?v=eNU0uLzwTNc,SPEEDY NEWS,Yes,Yes,No,No,No,Clickbait
"Bramhastra Movie | Alia Bhatt | Bramhastra Movie Amitabh Bachchan , Bramhastra Trailer, Bramhastra",tKh5_NMHBvg,https://www.youtube.com/watch?v=tKh5_NMHBvg,SPEEDY NEWS,Yes,Yes,Yes,No,No,Clickbait
Lal Singh Chaddha Offical Trailer Released On The Date November 2020,7TgyAdeU1rA,https://www.youtube.com/watch?v=7TgyAdeU1rA,SPEEDY NEWS,No,Yes,Yes,No,No,Clickbait
K.G.F Chapter 2 Official Trailer | Yash | Srinidhi Shetty | Sanjay Dutt | Prashanth N | Concept 2021,GF-TlaGtDcw,https://www.youtube.com/watch?v=GF-TlaGtDcw,PR Media,No,Yes,No,No,No,Clickbait
WTF Bollywood Songs || Funniest Lyrics **LOL**,svbnlCyifWY,https://www.youtube.com/watch?v=svbnlCyifWY,Triggered Insaan,No,No,Yes,Yes,Yes,Clickbait
WTF Bollywood Songs Part 2 || Worst Song Lyrics,JRoAF_Us2d4,https://www.youtube.com/watch?v=JRoAF_Us2d4,Triggered Insaan,No,No,Yes,Yes,Yes,Clickbait
Shocking Indian Movie Dialogues/Scenes You Won’t Believe Were Approved | MATLAB KUCH BHI,gopoPzQemHI,https://www.youtube.com/watch?v=gopoPzQemHI,Tried&Refused Productions.,No,No,Yes,No,Yes,Clickbait
Bollywood Copying Hollywood Scene by Scene #1,i6O7lZLYRiI,https://www.youtube.com/watch?v=i6O7lZLYRiI,Triggered Insaan,No,No,No,Yes,No,Clickbait
Jacqueline Fernandez's Top 10 Unpleasant Moments !,EeDJZjsXacI,https://www.youtube.com/watch?v=EeDJZjsXacI,BollywoodCIA,No,No,Yes,Yes,No,Clickbait
11 Most WTF Bollywood Pictures From The 90s You Just Can’t ‘Unsee’!,bNB1CdKzzzk,https://www.youtube.com/watch?v=bNB1CdKzzzk,Bollywood Talker,No,No,Yes,No,Yes,Clickbait
"Shilpa Shetty's Hot Yoga - International ""Yoga Day""",lB0dhVU7ON4,https://www.youtube.com/watch?v=lB0dhVU7ON4&list=PL6pkdTCsRrJAO8CQgwGNegf98F4VuS3Uv&index=9,Bollywood Uncensored,No,Yes,No,Yes,No,Clickbait
The Hot Side of Bollywood Actresses in Black Saree,zucdpZFHTSA,https://www.youtube.com/watch?v=zucdpZFHTSA&list=PL6pkdTCsRrJAO8CQgwGNegf98F4VuS3Uv&index=11,Bollywood Uncensored,No,Yes,No,Yes,No,Clickbait
