video_id,LABEL,title,description,likes,comments,views
HrqEKjX4TXI,FAKE,Jaan Teaser | Prabhas | Pooja Hegde | Radha Krishna | U V Creations | Gopi Krishna Movies | Fan Made,"Jaan Teaser | Prabhas | Pooja Hegde | Radha Krishna | U V Creations | Gopi Krishna Movies | Fan Made

#PRABHAS20 #JAAN #JAANTeaser  #Ramendrachakarwarti

Welcome to our official Youtube channel Ready2Release !! want to know whats going on in Tollywood and other filmybuzz


Social Media Links

Subscribe our Youtube Channel: 
https://www.youtube.com/user/bollygradfti

Facebook:(https://www.facebook.com/bollygrad.studioz/)

Twitter: (https://twitter.com/bollygrad)

Instagram: (https://www.instagram.com/bollygrad.studioz/)

Website: (http://www.bollygrad.com/) Archives",10898,225,1373807
alIX6pqJJbc,FAKE,KGF 2 |  Official Concept Trailer | Yash | Sanjay Dutt | Raveena Tandon | Srinidhi| Prashanth Neel |,"Ghaznavi | Official Motion Teaser | Rajveer Singh | Dr. Nirmal Jain | Sanoj Mishra | SMF | Jan 2022.   
. Here We Go, Glimpse Into An Empire Called KGF and a Glance of Rocky's World.

Hombale Films Presents the Official Teaser of KGF Chapter 2.

Written and Directed by Prashanth Neel
Produced by Vijay Kiragandur

Starring: Rocking Star Yash, Sanjay Dutt, Srinidhi Shetty, Raveena Tandon, Prakash Raj, Malvika Avinash, Achyuth Kumar, Ayyappa P. Sharma, Rao Ramesh, Eshwari Rao, Archana Jois, T. S. Nagabharana, Saran, Avinash, Lakki Lakshman, Vashishta Simha, Harish Rai, Dinesh Mangalore, Tarak, Ramachandra Raju, Vinay Bidappa, Ashok Sharma, Mohan Juneja, Govinda Gowda, John Kokken, Srinivas Murthy

Director of Photography: Bhuvan Gowda

Sound Design, Music & Background Score: Ravi Basrur

Direction Team: Kirtan Nadagouda, Dhool Prakash, Bhargav N, Prashanth Hosmane, Chandan L, Yuvindraja, Nishanth Varma, Sanjay Muruli Muddenahally, Ghattimutthu Shashidhar, Abhijith Gorachi, Shiva Kumar, Mithilesh Gowda, Akash Thaargar, Akash Rambo, Farman Ullah

Cameraman Team: Sandy, Prajwal Gowda, Kumar Gowda, Sagar Gowda, Manuraj  

Executive Producer: Karthik Gowda, K. V Rama Rao
Editor: Ujwal Kulkarni
Production Design: Shivakumar
Action: Anbariv
Choreography: Harsha, Mohan
Dubbing: Anand Y. S
Costume Designer: Yogi G Raj, Sania Sardhariya, Navin Shetty, Ashwin Mawle, Hassan Khan
Dialogues: Chandramouli.M, Dr. Suri, Prashanth Neel
Sound Effects: Nanndhu J & Team
Production Managers: K S Champakadama,Gagan Murthy, S Kumar
Production Incharge: Chidanand, Suresh Shankarananhalli, Shashikanth
DI & VFX: Unify Media
VFX Supervisor: Konda Reddy Suresh
Colorist: Fergus Hally, Ashwath
Marketing: Likitha Reddy, Naren Marol, Anil Kumar, Shreya Unchalli, Manoj Shetty, Lakshmi Narayan
Digital Media PR - Prasad Bhimanadham

#KGFChapter2 #KGFChapter2TRAILER #HombaleFilms #RockingStarYash #KGF2ConceptTrailer #fanmade

Watch concept trailer of maidaan
https://youtu.be/O3vbcN_xb7M

For More Updates:

YouTube: https://www.youtube.com/HombaleNinnin...
Facebook: https://www.facebook.com/HombaleFilms/
Twitter: https://www.Twitter.com/hombalefilms
Instagram: https://www.instagram.com/hombalefilms

TERI KHUSHIYON MEIN (Hindi Video Song ) |Ravi Sudha Choudhary |Muskan Verma | Sanoj Mishra | 2021`
 https://youtu.be/nzN39t9919c

Social Media Links

Subscribe our Youtube Channel: 
https://www.youtube.com/user/bollygradfti

Facebook:(https://www.facebook.com/bollygrad.studioz/)

Twitter: (https://twitter.com/bollygrad)

Instagram: (https://www.instagram.com/bollygrad.studioz/)

Website: (http://www.bollygrad.com/) #concepttrailer #fanmadetrailer Archives TERI KHUSHIYON MEIN (Hindi Video Song ) |Ravi Sudha Choudhary |Muskan Verma | Sanoj Mishra | 2021`  
https://youtu.be/nzN39t9919c 

Kachchi Sadak heart touching Short Movie 2021 || कच्ची सड़क award winning short movie sanoj mishra film
https://youtu.be/UouctXV49VE. 
Kachchi Sadak heart touching Short Movie 2021 || कच्ची सड़क award winning short movie sanoj mishra film
https://youtu.be/UouctXV49VE.",114332,1041,10471061
xXKInf1luP8,FAKE,PK 2 Official  Conceptual Trailer - Aamir Khan | Ranbir Kapoor | Rajkumar Hirani |,"PK 2 (Official Trailer) - Aamir Khan | Ranbir Kapoor | Rajkumar Hirani |

Bollygrad Studioz Presenting Latest Bollywood Movie  “ PK 2 (Official Trailer)

starring 

Aamir Khan &
 Ranbir Kapoor” 


Movie - pk 2 (Official Trailer)

Type - Bollywood 

Language - Hindi

FANMADE


#pk2 #pk2Trailer #AamirKhan #RanbirKapoor

Social Media Links
Subscribe our Youtube Channel: https://www.youtube.com/user/bollygradfti

Facebook: https:https://www.facebook.com/bollygrad.fti.5

Twitter: https:https://twitter.com/Bollygrad

Instagram: https://www.instagram.com/bollygrad.fti/?hl=en

Website: http://www.bollygrad.com/",83945,2388,14023785
ThKNjV723yI,FAKE,83 | 41 Interesting facts | Ranveer Singh |  Deepika Padukone | Kapil Dev | Hardy Sandhu | Upcoming,"Full Movie: http:///1w6gS

Presenting the Hindi Official Trailer of 83 starring Ranveer Singh and directed by Kabir Khan.

Reliance Entertainment & Phantom Films Present. A Kabir Khan Films Production. 

Produced by Deepika Padukone, Kabir Khan, Vishnu Vardhan Induri, Sajid Nadiadwala, Phantom Films, Reliance Entertainment, 83 Film Ltd.

A Reliance Entertainment and PVR Pictures Release.

Star Cast:
• Ranveer Singh as Kapil Dev 
• Deepika Padukone as Romi Dev
• Pankaj Tripathi as PR Man Singh
• Tahir Raj Bhasin as Sunil Gavaskar
• Jiiva as Krishnamachari Srikkanth
• Saqib Saleem as Mohinder Amarnath
• Jatin Sarna as Yashpal Sharma
• Chirag Patil as Sandeep Patil
• Dinker Sharma as Kirti Azad
• Nishant Dahiya as Roger Binny
• Harrdy Sandhu as Madan Lal 
• Sahil Khattar as Syed Kirmani
• Ammy Virk as Balwinder Singh Sandhu
• Addinath Kothare as Dilip Vengsarkar
• Dhairya Karwa as Ravi Shastri
• R Badree as Sunil Valson

Scripted by: Manisha jain
Coming soon  in Hindi, Tamil and Telugu.
 
For more information log on:
Facebook: https://www.facebook.com/RelianceEnt/
Twitter: https://twitter.com/RelianceEnt
Instagram: https://www.instagram.com/reliance.en...

#ThisIs83 #83OfficialTrailer

Social Media Links

Subscribe our Youtube Channel: 
https://www.youtube.com/user/bollygradfti

Facebook:(https://www.facebook.com/bollygrad.studioz/)

Twitter: (https://twitter.com/bollygrad)

Instagram: (https://www.instagram.com/bollygrad.studioz/)

Website: (http://www.bollygrad.com/) Archives TERI KHUSHIYON MEIN (Hindi Video Song ) |Ravi Sudha Choudhary |Muskan Verma | Sanoj Mishra | 2021` 
 https://youtu.be/nzN39t9919c",34386,1586,3259767
HBKrJ4dHLkY,FAKE,Laal Singh Chaddha | Official concept trailer| Aamir | Kareena Kapoor |Mona Singh |Advait Chandan,"#LalsinghChaddha #amirkhan #Advait Chandan
Lal Singh Chaddha | Official Trailer | Aamir Khan | Kareena Kapoor | Vijay Setupati #LalSinghChaddha

Laal Singh Chaddha is an upcoming Indian Hindi-language comedy-drama film directed by Advait Chandan with production by Aamir Khan Productions and Viacom 18 Motion Pictures.

Director: Advait Chandan

Adapted from: Forrest Gump

Music director: Pritam Chakraborty

Producers: Aamir Khan, Kiran Rao

#LalsinghChaddha #amirkhan #Advait Chandan #bollygradstudioz #drramendrachakarwarti

Social Media Links

Subscribe our Youtube Channel: 
https://www.youtube.com/user/bollygradfti

Facebook:(https://www.facebook.com/bollygrad.studioz/)

Twitter: (https://twitter.com/bollygrad)

Instagram: (https://www.instagram.com/bollygrad.studioz/)

Website: (http://www.bollygrad.com/) Archives TERI KHUSHIYON MEIN (Hindi Video Song ) |Ravi Sudha Choudhary |Muskan Verma | Sanoj Mishra | 2021` 
https://youtu.be/nzN39t9919c",26696,0,2889159
RMiENrqVGNM,FAKE,Anushka Sharma With Baby Girl Discharged From Hospital,"#AnushkhaSharma #Baby #Girl

Bollywood city as it named, its all about Bollywood and its latest stories happening on daily basis. We told you the secret insight stories of Bollywood actor and actresses. About their relationships, lifestyles children and everything about them.

Do Subscribe Bollywood City",39992,636,5048369
-GGNccaLb34,FAKE,Virat Kohli Baby Girl Most Expensive Gifts From Indian Cricket Team,"#ViratKohli #Baby #Gifts #Expensive

Bollywood city as it named, its all about Bollywood and its latest stories happening on daily basis. We told you the secret insight stories of Bollywood actor and actresses. About their relationships, lifestyles children and everything about them.

Do Subscribe Bollywood City",122588,2508,8436023
NeI41nWlhps,FAKE,Taimur Ali Khan New Sister | Kareena Kapoor Son Taimur Ali Khan With His Sister,"#KareenaKapoor #Son #Daughter #Sister #Newborn #Baby

Bollywood city as it named, its all about Bollywood and its latest stories happening on daily basis. We told you the secret insight stories of Bollywood actor and actresses. About their relationships, lifestyles children and everything about them.

Do Subscribe Bollywood City",127,2,14102
QFh0XkV-8YQ,FAKE,Hrithik Roshan Finally Getting Married Again,"#HrithikRoshan #Getting #Married

Bollywood city as it named, its all about Bollywood and its latest stories happening on daily basis. We told you the secret insight stories of Bollywood actor and actresses. About their relationships, lifestyles children and everything about them.

Contact us: https://www.instagram.com/bollywoodcityy
Do Subscribe Bollywood City",219,8,41428
ZlgxWwgTNNU,FAKE,Sunny Leone & Emraan Hashmi Son Revealed | Emraan Hashmi and Sunny Leone Allegedly Son,"#Emraan #Sunny #Son #Bihar #Kundan #Kumar

Bollywood city as it named, its all about Bollywood and its latest stories happening on daily basis. We told you the secret insight stories of Bollywood actor and actresses. About their relationships, lifestyles children and everything about them.

Do Subscribe Bollywood City",17,1,1705
WydWEcBOLvA,FAKE,Kareena Kapoor Welcomes Her New Born Baby in New House,"#KareenaKapoor #NewBorn #Baby #NewHouse

Bollywood city as it named, its all about Bollywood and its latest stories happening on daily basis. We told you the secret insight stories of Bollywood actor and actresses. About their relationships, lifestyles children and everything about them.

Do Subscribe Bollywood City",4782,100,1453223
zavAKfTum1M,FAKE,"Anushka Sharma and Virat Kholi Blessed With Baby Boy, Finally Good News For Anushka and Virat Fans","#AnushkaSharma #Blessed #Baby #Boy 

Bollywood city as it named, its all about Bollywood and its latest stories happening on daily basis. We told you the secret insight stories of Bollywood actor and actresses. About their relationships, lifestyles children and everything about them.

Do Subscribe Bollywood City",6313,280,456770
RkrsTQP5h4A,FAKE,Anushka Sharma and Virat Kohli Baby Name Revealed,"#AnushkaSharma #ViratKohli #Baby #Name #Revealed

Bollywood city as it named, its all about Bollywood and its latest stories happening on daily basis. We told you the secret insight stories of Bollywood actor and actresses. About their relationships, lifestyles children and everything about them.

Do Subscribe Bollywood City",1574,116,205277
VJwe4Ozvk0w,FAKE,Reality of Anushka Sharma // Model to Actress complete Detail.,"Twitter link 👇👇👇

https://bit.ly/30PBCGQ

Instagram link - https://bit.ly/3jLsknP







.


                         🔽Disclaimer🔽


Copyright disclaimer under section 107 of the copyright act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news, reporting, teaching, scholarship, education & research.

""For use"" is a use permitted by copyright statute that might otherwise be infringing.

Non-profit, educational or personal use tips the balance in favour of fair use.



----------------------------------------------------

.
Subscribe for more updates 

.
.
.
Ulti Khopdi

.
.",5114,751,164125
A8hV7P1DPGU,FAKE,Good News: Virat Kohli & Anushka Sharma Blessed with Baby Girl | Virushka Baby Girl Video,"#AnushkaSharma #ViratKohli #Virushka

Good News: Virat Kohli & Anushka Sharma Blessed with Baby Girl | Virushka Baby Girl Video

Bollywood actress Anushka Sharma is in the last month of her pregnancy and waiting to pop. In August last year, the actress and her cricketer husband Virat Kohli had announced that they are expecting their first child and will welcome it in January 2021. Anushka has been enjoying her pregnancy to the fullest and keeping her fans updated about her personal life. On Monday, she shared a photo of chilling with her super cute dog. The 'Ae Dil Hai Mushkil' actor hopped on to her Instagram and shared a picture of her and her pet dog, Dude.

anushka sharma baby,anushka sharma baby boy,anushka sharma baby girl,anushka sharma pregnant,virat kohli,anushka sharma and virat kohli,bollywood actor,bollywood actress,bollywood news,anushka sharma news,anushka sharma new born baby,anushka sharma new baby,virat kohli baby",3214,116,545006
eGhfOdcJXwA,FAKE,Deepika Padukone Shows Hot Cleavage at xXx Premier,"Deepika Padukone Shows Hot Cleavage at xXx Premier in Mumbai.

Click this below link and subscribe to our channel to get all updates on Bollywood Movies, and your favorite Bollywood actresses and actors.
http://goo.gl/cfijvC",7024,197,2629761
_BLJiT_OnIE,FAKE,Deepika Padukone TEASED by Jhanvi Kapoor & Ananya for WEIRD DRESS | Grazia Style Awards 2019 |,"#DeepikaPadukone #JanhviKapoor 
#AnanyaPandey #Grazia MillennialAwards2019

Deepika Padukone TEASED by Jhanvi Kapoor & Ananya for WEIRD DRESS | Grazia Style Awards 2019 |

Watch latest Bollywood gossip videos, latest Bollywood news and behind the scene Bollywood Masala. For interesting Latest Bollywood News subscribe to Biscoot TV now : http://www.youtube.com/BiscootTV

Like us on Facebook
https://www.facebook.com/BiscootLive

Follow us on Twitter
http://www.twitter.com/BiscootLive

For Latest Bollywood News Subscribe us on Youtube 
http://www.youtube.com/c/BiscootTV

Circle us on G+ 
https://plus.google.com/+BiscootLive

Find us on Pinterest
http://pinterest.com/BiscootLive",9982,1279,1042268
w_uF8dXb5H0,FAKE,Deepika Padukone Looks Pregnant - Hidding Her Baby Bump In Loose Clothes,"Subscribe to Bol Bollywood where we serve you the latest news,views and gossip about Bollywood. 
https://www.youtube.com/channel/UCNltw8OfFvvavhtVFa11UVg",3975,200,646149
